ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
10391,Bilgisayar,MSI Katana 15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42374,,,,,,,,,,,,,,
10392,Tablet,Samsung Galaxy Tab A9 Wi-Fi 64GB,Giriş Seviyesi,Medya Tüketimi,MediaTek Helio G99,4GB,64GB,,8.7 inç TFT IPS 90Hz,Android 13,5961,,,Hayır,Hayır,Yok,,,,,,,,,
10393,Kulaklık,Shure AONIC 50 Gen 2,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,13742,,,,,,,Kulak Üstü Kablosuz,50mm,20Hz-22kHz,ANC,3 mikrofon,Bluetooth 5.0,20 saat,
10394,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 44mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,12693,,,,,5ATM,Evet,,,,,,,,40
10395,Telefon,iPhone 17 512GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,512GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,98562,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
10396,Kulaklık,Bose QuietComfort 45,Üst Segment,Seyahat,,,,,,,10958,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.1,24 saat,
10397,Bilgisayar,MSI Modern 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,22148,,,,,,,,,,,,,,
10398,Kulaklık,Nothing Ear (open),Orta Segment,Günlük Kullanım,,,,,,,2963,,,,,,,Açık Tasarım TWS,16.5mm,20Hz-20kHz,Yok,3 mikrofon,Bluetooth 5.3,8 saat (kılıfla 30),
10399,Telefon,Xiaomi 14T 256GB,Üst Segment,Günlük Kullanım,MediaTek Dimensity 8300 Ultra,12GB,256GB,,6.67 inç AMOLED 144Hz,Android 14,21542,5000,50+12+2MP,Evet,Evet,IP68,,,,,,,,,
10400,Telefon,iPhone 16 256GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,79746,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
10401,Kulaklık,Huawei FreeBuds Pro 4,Üst Segment,Müzik Dinleme,,,,,,,5080,,,,,,,TWS,11mm,14Hz-48kHz,Üçlü ANC,6 mikrofon,Bluetooth 5.4,6.5 saat (kılıfla 31),
10402,Akıllı Saat / Bileklik,Apple Watch Ultra 2 49mm Titanium,Premium & Spor,Outdoor & Doğa,Apple S9,,,,,watchOS 11,47789,,,,,10ATM,Evet,,,,,,,,60
10403,Bilgisayar,Samsung Galaxy Book4 15 i5,Orta Segment,Günlük Kullanım,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,22598,,,,,,,,,,,,,,
10404,Kulaklık,Jabra Elite 10,Üst Segment,İş & Video Konferans,,,,,,,6972,,,,,,,TWS,10mm,20Hz-20kHz,MultiSensor ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 27),
10405,Kulaklık,Apple AirPods Max 2 USB-C,Premium & Hi-Fi,Müzik Dinleme,,,,,,,25838,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Aktif ANC,8 mikrofon,Bluetooth 5.3,20 saat,
10406,Tablet,Microsoft Surface Pro 10 i5 256GB,Pro,İş,Intel Core Ultra 5 134U,16GB,256GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,57881,,,Hayır,Evet,Yok,,,,,,,,,
10407,Telefon,Xiaomi 15 Ultra 512GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,16GB,512GB,,6.73 inç AMOLED 120Hz,Android 15,81579,5000,50+50+50+12MP,Evet,Evet,IP68,,,,,,,,,
10408,Kulaklık,Huawei Freebuds 5i,Orta Segment,Günlük Kullanım,,,,,,,3035,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,3 mikrofon,Bluetooth 5.2,7.5 saat (kılıfla 28),
10409,Bilgisayar,MSI Modern 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,21563,,,,,,,,,,,,,,
10410,Akıllı Saat / Bileklik,Samsung Galaxy Watch Ultra LTE,Premium & Spor,Outdoor & Doğa,Exynos W1000,,,,,Wear OS 5,25587,,,,,10ATM,Evet,,,,,,,,48
10411,Kulaklık,Sennheiser Momentum 4,Üst Segment,Müzik Dinleme,,,,,,,9938,,,,,,,Kulak Üstü Kablosuz,42mm,6Hz-22kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.2,60 saat,
10412,Kulaklık,Xiaomi Redmi Buds 6,Giriş Seviyesi,Bütçe Dostu,,,,,,,1510,,,,,,,TWS,12mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.4,7 saat (kılıfla 35),
10413,Bilgisayar,MSI Modern 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,22305,,,,,,,,,,,,,,
10414,Tablet,Apple iPad 10. nesil Wi-Fi 256GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,256GB,,10.9 inç IPS 60Hz,iPadOS 18,20353,,,Hayır,Evet,IP68,,,,,,,,,
10415,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6570,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
10416,Bilgisayar,MacBook Air M3 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M3,8GB,256GB SSD,Apple M3 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,37277,,,,,,,,,,,,,,
10417,Akıllı Saat / Bileklik,Redmi Watch 5 Active,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1498,,,,,5ATM,Evet,,,,,,,,18
10418,Bilgisayar,MSI Katana 15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42628,,,,,,,,,,,,,,
10419,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,39953,,,,,,,,,,,,,,
10420,Tablet,Huawei MatePad 11.5 S Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Kirin 9000W,8GB,128GB,,11.5 inç IPS 144Hz,HarmonyOS 4,14866,,,Hayır,Hayır,IP54,,,,,,,,,
10421,Bilgisayar,Dell G15 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 165Hz,Windows 11 Home,39456,,,,,,,,,,,,,,
10422,Bilgisayar,Dell XPS 13 i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1360P,16GB,512GB SSD,Intel Iris Xe Graphics,13.4 inç FHD+ OLED 60Hz,Windows 11 Pro,51590,,,,,,,,,,,,,,
10423,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13604,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
10424,Telefon,Samsung Galaxy S24 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Gen 3,12GB,512GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,76661,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10425,Telefon,Moto G86 256GB,Orta Segment,Günlük Kullanım,Snapdragon 695,8GB,256GB,,6.67 inç pOLED 120Hz,Android 15,10915,5000,50+8MP,Evet,Evet,IP52,,,,,,,,,
10426,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14666,,,,,,,,,,,,,,
10427,Bilgisayar,Dell Inspiron 15 5000 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,20684,,,,,,,,,,,,,,
10428,Kulaklık,Sennheiser HD 560S,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5867,,,,,,,Kulak Üstü Kablolu,38mm,6Hz-38kHz,Açık Tasarım,—,Kablolu 3.5mm/6.35mm,—,
10429,Telefon,iPhone Air 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19 Pro,8GB,512GB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,119718,2830,48MP,Evet,Evet,IP68,,,,,,,,,
10430,Akıllı Saat / Bileklik,Amazfit GTR 5,Orta Segment,Fitness & Spor,—,,,,,Zepp OS,4465,,,,,5ATM,Evet,,,,,,,,14
10431,Kulaklık,JBL Tune 770NC,Giriş Seviyesi,Bütçe Dostu,,,,,,,2982,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,38 saat,
10432,Bilgisayar,Acer Swift Go 14 Ryzen 5,Orta Segment,Uzaktan Çalışma,AMD Ryzen 5 7530U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,23109,,,,,,,,,,,,,,
10433,Kulaklık,Huawei FreeBuds Pro 4,Üst Segment,Müzik Dinleme,,,,,,,4859,,,,,,,TWS,11mm,14Hz-48kHz,Üçlü ANC,6 mikrofon,Bluetooth 5.4,6.5 saat (kılıfla 31),
10434,Telefon,iPhone Air 1TB,Amiral Gemisi,İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,136943,2830,48MP,Evet,Evet,IP68,,,,,,,,,
10435,Tablet,Apple iPad Pro M4 11 5G 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,57849,,,Evet,Evet,IP68,,,,,,,,,
10436,Bilgisayar,Microsoft Surface Laptop 6 i5,Üst Segment,İş,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc Graphics,13.5 inç PixelSense 120Hz,Windows 11 Home,46085,,,,,,,,,,,,,,
10437,Telefon,Samsung Galaxy S25+ 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.7 inç Dynamic AMOLED 2X 120Hz,Android 15,65481,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
10438,Bilgisayar,LG Gram 14 i5,Üst Segment,Uzaktan Çalışma,Intel Core i5-1340P,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,40518,,,,,,,,,,,,,,
10439,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,22010,,,Hayır,Evet,IP68,,,,,,,,,
10440,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,57469,,,,,,,,,,,,,,
10441,Telefon,Samsung Galaxy S24 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Gen 3,12GB,512GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,76133,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10442,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,55751,,,,,,,,,,,,,,
10443,Bilgisayar,MacBook Pro M5 16GB 14 512GB,İş İstasyonu,Yazılım Geliştirme,Apple M5,16GB,512GB SSD,Apple M5 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,84947,,,,,,,,,,,,,,
10444,Telefon,Samsung Galaxy S25+ 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.7 inç Dynamic AMOLED 2X 120Hz,Android 15,63997,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
10445,Tablet,Apple iPad 10. nesil Wi-Fi 256GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,256GB,,10.9 inç IPS 60Hz,iPadOS 18,19858,,,Hayır,Evet,IP68,,,,,,,,,
10446,Kulaklık,Audio-Technica ATH-M50xBT2,Orta Segment,Stüdyo Kayıt,,,,,,,5930,,,,,,,Kulak Üstü Kablosuz,45mm,15Hz-28kHz,Pasif Yalıtım,2 mikrofon,Bluetooth 5.0,50 saat,
10447,Telefon,Google Pixel 9 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,12GB,128GB,,6.3 inç OLED 120Hz,Android 15,41774,4700,50+10.5MP,Evet,Evet,IP68,,,,,,,,,
10448,Kulaklık,Sony WH-1000XM6,Üst Segment,Müzik Dinleme,,,,,,,13932,,,,,,,Kulak Üstü Kablosuz,30mm,4Hz-40kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,36 saat,
10449,Telefon,Redmi Note 14 Pro 256GB,Orta Segment,Günlük Kullanım,MediaTek Dimensity 7300 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,13896,5500,108+8+2MP,Evet,Hayır,IP54,,,,,,,,,
10450,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14642,,,,,,,,,,,,,,
10451,Tablet,Samsung Galaxy Tab S9 Wi-Fi 128GB,Üst Segment,Medya Tüketimi,Snapdragon 8 Gen 2,8GB,128GB,,11 inç Dynamic AMOLED 2X 120Hz,Android 14,23732,,,Hayır,Evet,IP68,,,,,,,,,
10452,Bilgisayar,MacBook Air M4 15 16GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,15.3 inç Liquid Retina 60Hz,macOS Sequoia,54899,,,,,,,,,,,,,,
10453,Tablet,Apple iPad Air M2 11 Wi-Fi 128GB,Üst Segment,Dijital Not Alma,Apple M2,8GB,128GB,,11 inç Liquid Retina IPS 60Hz,iPadOS 18,25570,,,Hayır,Evet,IP68,,,,,,,,,
10454,Telefon,Samsung Galaxy S25 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Elite,12GB,512GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,80269,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10455,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,53968,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
10456,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13098,,,,,,,,,,,,,,
10457,Tablet,Xiaomi Pad 7 Pro Wi-Fi 256GB,Üst Segment,Oyun,Snapdragon 8s Gen 3,8GB,256GB,,11.2 inç IPS 144Hz,Android 15,18121,,,Hayır,Hayır,Yok,,,,,,,,,
10458,Akıllı Saat / Bileklik,Garmin Vivoactive 5,Orta Segment,Fitness & Spor,Garmin özel,,,,,Garmin OS,10810,,,,,5ATM,Evet,,,,,,,,11
10459,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,5008,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
10460,Bilgisayar,MacBook Air M4 13 16GB 256GB,Üst Segment,Yazılım Geliştirme,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,53331,,,,,,,,,,,,,,
10461,Bilgisayar,Lenovo IdeaPad Slim 5 16 i5,Orta Segment,Multitasking,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,16 inç FHD IPS 60Hz,Windows 11 Home,21986,,,,,,,,,,,,,,
10462,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,124161,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
10463,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 40mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,11505,,,,,5ATM,Evet,,,,,,,,40
10464,Bilgisayar,Samsung Galaxy Book4 Pro i7,Üst Segment,Günlük Kullanım,Intel Core Ultra 7 155H,16GB,512GB SSD,Intel Arc Graphics,14 inç 2.8K AMOLED 120Hz,Windows 11 Home,40155,,,,,,,,,,,,,,
10465,Telefon,iPhone Air 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19 Pro,8GB,512GB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,121625,2830,48MP,Evet,Evet,IP68,,,,,,,,,
10466,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5577,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
10467,Kulaklık,Apple AirPods 4,Orta Segment,Günlük Kullanım,,,,,,,6580,,,,,,,TWS,—,20Hz-20kHz,Pasif,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
10468,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,55361,,,,,,,,,,,,,,
10469,Tablet,Apple iPad Pro M4 11 5G 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,58135,,,Evet,Evet,IP68,,,,,,,,,
10470,Kulaklık,Xiaomi Redmi Buds 6,Giriş Seviyesi,Bütçe Dostu,,,,,,,1467,,,,,,,TWS,12mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.4,7 saat (kılıfla 35),
10471,Akıllı Saat / Bileklik,Apple Watch Ultra 2 49mm Titanium,Premium & Spor,Outdoor & Doğa,Apple S9,,,,,watchOS 11,48315,,,,,10ATM,Evet,,,,,,,,60
10472,Akıllı Saat / Bileklik,Huawei Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1999,,,,,5ATM,Hayır,,,,,,,,14
10473,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6497,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
10474,Telefon,Samsung Galaxy S25 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Elite,12GB,512GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,81090,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
10475,Kulaklık,JBL Live 770NC,Orta Segment,Günlük Kullanım,,,,,,,4422,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,40 saat,
10476,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32198,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
10477,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,122776,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
10478,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,29596,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
10479,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,25029,,,Hayır,Evet,IP54,,,,,,,,,
10480,Bilgisayar,HP ZBook Studio G10 i9,İş İstasyonu,Mühendislik,Intel Core i9-13900H,64GB,1TB SSD,NVIDIA RTX A2000 8GB,15.6 inç FHD IPS 60Hz,Windows 11 Pro,88393,,,,,,,,,,,,,,
10481,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,168866,,,,,,,,,,,,,,
10482,Bilgisayar,Huawei MateBook D14 i5,Bütçe,Ofis,Intel Core i5-12450H,16GB,512GB SSD,Intel UHD Graphics,14 inç FHD IPS 60Hz,Windows 11 Home,19661,,,,,,,,,,,,,,
10483,Tablet,Huawei MatePad 11.5 S Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Kirin 9000W,8GB,128GB,,11.5 inç IPS 144Hz,HarmonyOS 4,14783,,,Hayır,Hayır,IP54,,,,,,,,,
10484,Kulaklık,JBL Tour Pro 3,Üst Segment,İş & Video Konferans,,,,,,,7369,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 40),
10485,Telefon,Redmi 14C 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Helio G91 Ultra,4GB,128GB,,6.88 inç IPS LCD 90Hz,Android 14,5486,5160,50+0.08MP,Hayır,Hayır,Yok,,,,,,,,,
10486,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,101114,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
10487,Telefon,iPhone 17e 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,512GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,75735,3279,48MP,Evet,Evet,IP68,,,,,,,,,
10488,Kulaklık,Jabra Elite 10,Üst Segment,İş & Video Konferans,,,,,,,6870,,,,,,,TWS,10mm,20Hz-20kHz,MultiSensor ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 27),
10489,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,8029,,,Hayır,Hayır,Yok,,,,,,,,,
10490,Telefon,Nothing Phone (3) 256GB,Üst Segment,Günlük Kullanım,Snapdragon 8s Gen 4,12GB,256GB,,6.77 inç LTPO AMOLED 120Hz,Android 15,27277,5000,50+50MP,Evet,Evet,IP54,,,,,,,,,
10491,Kulaklık,Bose QuietComfort Ultra,Premium & Hi-Fi,Müzik Dinleme,,,,,,,18807,,,,,,,Kulak Üstü Kablosuz,35mm,20Hz-22.4kHz,WorldWide ANC,6 mikrofon,Bluetooth 5.3,24 saat,
10492,Telefon,Samsung Galaxy S26 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite Gen 2,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,85143,5500,200+50+12+12MP,Evet,Evet,IP68,,,,,,,,,
10493,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,70192,,,,,,,,,,,,,,
10494,Akıllı Saat / Bileklik,Huawei Watch GT 5 Pro 46mm,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,10999,,,,,5ATM,Evet,,,,,,,,14
10495,Telefon,iPhone 17e 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,512GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,73184,3279,48MP,Evet,Evet,IP68,,,,,,,,,
10496,Kulaklık,Sony WH-1000XM6,Üst Segment,Müzik Dinleme,,,,,,,14263,,,,,,,Kulak Üstü Kablosuz,30mm,4Hz-40kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,36 saat,
10497,Tablet,Samsung Galaxy Tab S9+ Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,12.4 inç Dynamic AMOLED 2X 120Hz,Android 14,37955,,,Hayır,Evet,IP68,,,,,,,,,
10498,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,17384,,,,,10ATM,Evet,,,,,,,,40
10499,Kulaklık,Samsung Galaxy Buds 3 FE,Giriş Seviyesi,Bütçe Dostu,,,,,,,3558,,,,,,,TWS,8.5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,5 saat (kılıfla 21),
10500,Bilgisayar,MSI Katana 15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42524,,,,,,,,,,,,,,
10501,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,10237,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
10502,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,30058,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
10503,Telefon,Samsung Galaxy A56 256GB,Üst Segment,Günlük Kullanım,Exynos 1580,8GB,256GB,,6.7 inç Super AMOLED 120Hz,Android 15,23332,5000,50+12+5MP,Evet,Evet,IP67,,,,,,,,,
10504,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,4957,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
10505,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,10090,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
